source,slug,status,severity,score,summary,issues
static,salad-dressing,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,shopping-style,,P2,70,cards=10; paragraphs=11; faq=true,P2 static metadata missing | P2 console logging in result page
static,shower-habit,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,skin-routine,,Pass,90,cards=9; paragraphs=12; faq=true,
static,sleep-chronotype,,P2,70,cards=10; paragraphs=13; faq=true,P2 English section title remains
static,snack-preference,,P2,70,cards=8; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,snack-time,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,snowwhite-mbti,,P2,70,cards=17; paragraphs=19; faq=true,P2 English section title remains | P2 console logging in result page
static,sock-wearing,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,soup-eating,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,soup-vs-bibim,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,spending-style,,Pass,90,cards=9; paragraphs=12; faq=true,
static,spice-tolerance,,Pass,90,cards=8; paragraphs=8; faq=true,
static,stew-vs-soup,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,store-choice,,P2,70,cards=10; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,study-mbti,,P2,70,cards=13; paragraphs=14; faq=true,P2 English section title remains | P2 console logging in result page
static,subway-vs-bus,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,taste-preference,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,travel-style,,P2,70,cards=10; paragraphs=9; faq=true,P2 static metadata missing | P2 console logging in result page
static,water-drinking,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,weekend-balance,,P2,70,cards=11; paragraphs=18; faq=true,P2 static metadata missing | P2 console logging in result page
static,weekend-chore,,P2,70,cards=11; paragraphs=18; faq=true,P2 static metadata missing | P2 console logging in result page
static,weekend-food,,P2,70,cards=11; paragraphs=18; faq=true,P2 static metadata missing | P2 console logging in result page
static,weekend-hobby,,P2,70,cards=11; paragraphs=18; faq=true,P2 static metadata missing | P2 console logging in result page
static,weekend-lazy,,P2,70,cards=11; paragraphs=18; faq=true,P2 static metadata missing | P2 console logging in result page
static,weekend-planning,,P2,70,cards=11; paragraphs=18; faq=true,P2 static metadata missing | P2 console logging in result page
static,weekend-rest,,P2,70,cards=11; paragraphs=18; faq=true,P2 static metadata missing | P2 console logging in result page
static,weekend-shopping,,P2,70,cards=11; paragraphs=18; faq=true,P2 static metadata missing | P2 console logging in result page
static,weekend-social,,P2,70,cards=11; paragraphs=18; faq=true,P2 static metadata missing | P2 console logging in result page
static,weekend-travel,,P2,70,cards=11; paragraphs=18; faq=true,P2 static metadata missing | P2 console logging in result page
static,youtube-habit,,P2,70,cards=13; paragraphs=13; faq=true,P2 static metadata missing | P2 English section title remains | P2 console logging in result page
static,zombie-survival,,Pass,90,cards=8; paragraphs=8; faq=true,
database,asset-account-split-wave6,draft,Pass,90,results=16/16; avgSummary=139; thinRows=0,
database,asset-advisor-meet-wave6,draft,Pass,90,results=16/16; avgSummary=137; thinRows=0,
database,asset-bond-buy-wave6,draft,Pass,90,results=16/16; avgSummary=137; thinRows=0,
database,asset-credit-score-wave6,draft,Pass,90,results=16/16; avgSummary=141; thinRows=0,
database,asset-crypto-decide-wave6,draft,Pass,90,results=16/16; avgSummary=141; thinRows=0,
database,asset-dividend-pick-wave6,draft,Pass,90,results=16/16; avgSummary=133; thinRows=0,
database,asset-donation-set-wave6,draft,Pass,90,results=16/16; avgSummary=137; thinRows=0,
database,asset-etf-allocate-wave6,draft,Pass,90,results=16/16; avgSummary=139; thinRows=0,
database,asset-financial-news-wave6,draft,Pass,90,results=16/16; avgSummary=137; thinRows=0,
database,asset-fixed-deposit-wave6,draft,Pass,90,results=16/16; avgSummary=135; thinRows=0,
database,asset-fund-pick-wave6,draft,Pass,90,results=16/16; avgSummary=137; thinRows=0,
database,asset-installment-saving-wave6,draft,Pass,90,results=16/16; avgSummary=131; thinRows=0,
database,asset-insurance-review-wave6,draft,Pass,90,results=16/16; avgSummary=137; thinRows=0,
database,asset-loan-compare-wave6,draft,Pass,90,results=16/16; avgSummary=137; thinRows=0,
database,asset-monthly-budget-wave6,draft,Pass,90,results=16/16; avgSummary=135; thinRows=0,
database,asset-mortgage-plan-wave6,draft,Pass,90,results=16/16; avgSummary=139; thinRows=0,
database,asset-pension-add-wave6,draft,Pass,90,results=16/16; avgSummary=137; thinRows=0,
database,asset-rainy-day-fund-wave6,draft,Pass,90,results=16/16; avgSummary=143; thinRows=0,
database,asset-real-estate-look-wave6,draft,Pass,90,results=16/16; avgSummary=143; thinRows=0,
database,asset-saving-rate-wave6,draft,Pass,90,results=16/16; avgSummary=137; thinRows=0,
