slug,source,severity,score,recommendedFix,issues
weekend-social,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing | P2 result mojibake suspected: 26
weekend-travel,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing | P2 result mojibake suspected: 26
youtube-habit,static,P2,70,SEO/목차/관련 링크/문구 품질 보강,P2 test description too short or missing in registry | P2 result table of contents missing | P2 result metadata missing | P2 English section title remains
zombie-survival,static,P2,70,SEO/목차/관련 링크/문구 품질 보강,P2 test description too short or missing in registry
asset-account-split-wave6,database-only,Pass,95,유지,
asset-advisor-meet-wave6,database-only,Pass,95,유지,
asset-bond-buy-wave6,database-only,Pass,95,유지,
asset-credit-score-wave6,database-only,Pass,95,유지,
asset-crypto-decide-wave6,database-only,Pass,95,유지,
asset-dividend-pick-wave6,database-only,Pass,95,유지,
asset-donation-set-wave6,database-only,Pass,95,유지,
asset-etf-allocate-wave6,database-only,Pass,95,유지,
asset-financial-news-wave6,database-only,Pass,95,유지,
asset-fixed-deposit-wave6,database-only,Pass,95,유지,
asset-fund-pick-wave6,database-only,Pass,95,유지,
asset-installment-saving-wave6,database-only,Pass,95,유지,
asset-insurance-review-wave6,database-only,Pass,95,유지,
asset-loan-compare-wave6,database-only,Pass,95,유지,
asset-monthly-budget-wave6,database-only,Pass,95,유지,
asset-mortgage-plan-wave6,database-only,Pass,95,유지,
asset-pension-add-wave6,database-only,Pass,95,유지,
asset-rainy-day-fund-wave6,database-only,Pass,95,유지,
asset-real-estate-look-wave6,database-only,Pass,95,유지,
asset-saving-rate-wave6,database-only,Pass,95,유지,
asset-spending-track-wave6,database-only,Pass,95,유지,
asset-stock-buy-wave6,database-only,Pass,95,유지,
asset-stock-sell-wave6,database-only,Pass,95,유지,
asset-tax-deduction-wave6,database-only,Pass,95,유지,
asset-wealth-record-wave6,database-only,Pass,95,유지,
bakery-tray-route-A21b,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
boardgame-rule-reading-2OC3,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
bond-club-greet-wave5,database-only,Pass,95,유지,
bond-cousin-call-wave5,database-only,Pass,95,유지,
bond-friend-distance-wave5,database-only,Pass,95,유지,
bond-friend-parent-wave5,database-only,Pass,95,유지,
bond-friend-quarrel-wave5,database-only,Pass,95,유지,
bond-friend-wedding-wave5,database-only,Pass,95,유지,
bond-greet-length-wave5,database-only,Pass,95,유지,
bond-holiday-message-wave5,database-only,Pass,95,유지,
bond-inlaw-title-wave5,database-only,Pass,95,유지,
bond-junior-care-wave5,database-only,Pass,95,유지,
bond-kind-thanks-wave5,database-only,Pass,95,유지,
bond-new-colleague-wave5,database-only,Pass,95,유지,
bond-new-family-wave5,database-only,Pass,95,유지,
bond-old-classmate-wave5,database-only,Pass,95,유지,
bond-parent-check-wave5,database-only,Pass,95,유지,
bond-parent-meet-wave5,database-only,Pass,95,유지,
bond-partner-promise-wave5,database-only,Pass,95,유지,
bond-reconcile-step-wave5,database-only,Pass,95,유지,
bond-relative-meet-wave5,database-only,Pass,95,유지,
bond-secret-share-wave5,database-only,Pass,95,유지,
bond-senior-care-wave5,database-only,Pass,95,유지,
bond-shared-meal-wave5,database-only,Pass,95,유지,
bond-sibling-tone-wave5,database-only,Pass,95,유지,
bond-soft-refusal-wave5,database-only,Pass,95,유지,
bond-wellbeing-card-wave5,database-only,Pass,95,유지,
book-bookmark-style-pHPe,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
brand-switching-style-9L8v,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
budget-rounding-style-Zllz,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
buffet-first-plate-_yYp,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
buy-after-ad-wave5,database-only,Pass,95,유지,
buy-after-impulse-wave5,database-only,Pass,95,유지,
buy-collection-start-wave5,database-only,Pass,95,유지,
buy-color-pick-wave5,database-only,Pass,95,유지,
buy-demo-try-wave5,database-only,Pass,95,유지,
buy-eco-tag-wave5,database-only,Pass,95,유지,
buy-first-try-wave5,database-only,Pass,95,유지,
buy-friend-recommend-wave5,database-only,Pass,95,유지,
buy-gift-receipt-wave5,database-only,Pass,95,유지,
buy-installment-wave5,database-only,Pass,95,유지,
buy-item-dispose-wave5,database-only,Pass,95,유지,
buy-label-check-wave5,database-only,Pass,95,유지,
buy-luxury-review-wave5,database-only,Pass,95,유지,
buy-membership-join-wave5,database-only,Pass,95,유지,
buy-new-card-wave5,database-only,Pass,95,유지,
buy-new-launch-wave5,database-only,Pass,95,유지,
buy-points-use-wave5,database-only,Pass,95,유지,
buy-regular-shop-wave5,database-only,Pass,95,유지,
buy-review-write-wave5,database-only,Pass,95,유지,
buy-size-compare-wave5,database-only,Pass,95,유지,
buy-store-loop-wave5,database-only,Pass,95,유지,
buy-store-staff-wave5,database-only,Pass,95,유지,
buy-subscribe-set-wave5,database-only,Pass,95,유지,
buy-vintage-pick-wave5,database-only,Pass,95,유지,
buy-visit-count-wave5,database-only,Pass,95,유지,
cafe-order-decision-kgRg,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
calendar-blocking-style-qPuE,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
care-before-work-wave5,database-only,Pass,95,유지,
care-breath-count-wave5,database-only,Pass,95,유지,
care-diary-close-wave5,database-only,Pass,95,유지,
care-digital-detox-wave5,database-only,Pass,95,유지,
care-feeling-diary-wave5,database-only,Pass,95,유지,
care-ground-feet-wave5,database-only,Pass,95,유지,
care-mindful-step-wave5,database-only,Pass,95,유지,
care-mirror-greet-wave5,database-only,Pass,95,유지,
care-morning-meditate-wave5,database-only,Pass,95,유지,
care-one-memo-wave5,database-only,Pass,95,유지,
care-one-page-wave5,database-only,Pass,95,유지,
care-one-photo-wave5,database-only,Pass,95,유지,
care-one-song-wave5,database-only,Pass,95,유지,
care-one-tea-wave5,database-only,Pass,95,유지,
